Run,Algorithm,Size,Type,Time_sec,Memory_MB,CPU_percent,Status
1,Timsort,100000,random,0.015084999962709844,0.0,16.7,Success
2,Quick Sort,100000,random,0.2239259000052698,0.0,14.9,Success
2,Timsort,100000,random,0.014639200002420694,0.3828125,12.5,Success
3,Quick Sort,100000,random,0.24058340000919998,0.0,14.9,Success
3,Timsort,100000,random,0.01588900003116578,0.73828125,25.0,Success
4,Quick Sort,100000,random,0.22007809998467565,0.6171875,12.5,Success
4,Timsort,100000,random,0.015217199979815632,0.0,10.0,Success
5,Quick Sort,100000,random,0.2533811000175774,0.24609375,17.5,Success
5,Timsort,100000,random,0.01628109999001026,0.0,10.0,Success
6,Quick Sort,100000,random,0.23278269998263568,0.75390625,13.6,Success
6,Timsort,100000,random,0.014520900032948703,0.0,14.3,Success
7,Quick Sort,100000,random,0.21785139996791258,0.0,12.1,Success
7,Timsort,100000,random,0.015366700012236834,0.0,11.1,Success
8,Quick Sort,100000,random,0.22703629999887198,1.23828125,13.8,Success
8,Timsort,100000,random,0.014611100021284074,0.0,14.3,Success
9,Quick Sort,100000,random,0.2169731999747455,0.83984375,14.4,Success
9,Timsort,100000,random,0.014703499968163669,0.3828125,10.0,Success
10,Quick Sort,100000,random,0.21642319997772574,0.58203125,15.9,Success
10,Timsort,100000,random,0.014649600023403764,0.0,10.0,Success
11,Quick Sort,100000,random,0.21516779996454716,0.015625,14.3,Success
11,Timsort,100000,random,0.014666499977465719,0.0,12.5,Success
12,Quick Sort,100000,random,0.22221629996784031,0.0,15.0,Success
12,Timsort,100000,random,0.015071199974045157,0.76171875,22.2,Success
13,Quick Sort,100000,random,0.21812640002463013,0.0,12.1,Success
13,Timsort,100000,random,0.015047499968204647,0.7578125,12.5,Success
14,Quick Sort,100000,random,0.21264090004842728,0.34765625,12.5,Success
14,Timsort,100000,random,0.014728200039826334,0.0,25.0,Success
15,Quick Sort,100000,random,0.21904120000544935,0.0,13.8,Success
15,Timsort,100000,random,0.02118709997739643,0.0,22.2,Success
16,Quick Sort,100000,random,0.3323601999436505,0.0,37.6,Success
16,Timsort,100000,random,0.016887800011318177,1.5234375,11.1,Success
17,Quick Sort,100000,random,0.29247899999609217,0.40625,29.1,Success
17,Timsort,100000,random,0.020637000037822872,0.01171875,26.7,Success
18,Quick Sort,100000,random,0.2344425999908708,0.0,19.0,Success
18,Timsort,100000,random,0.01601889997255057,0.74609375,16.7,Success
19,Quick Sort,100000,random,0.21643279999261722,0.0,13.4,Success
19,Timsort,100000,random,0.015583999978844076,1.3203125,33.3,Success
20,Quick Sort,100000,random,0.21200450003379956,0.72265625,15.9,Success
20,Timsort,100000,random,0.014920999994501472,0.0,16.7,Success
21,Quick Sort,100000,random,0.22961119998944923,0.0,12.8,Success
21,Timsort,100000,random,0.014763900020625442,0.6796875,14.3,Success
22,Quick Sort,100000,random,0.24078749999171123,0.58984375,20.8,Success
22,Timsort,100000,random,0.015577099984511733,0.0,18.2,Success
23,Quick Sort,100000,random,0.2272577999974601,0.0,14.0,Success
23,Timsort,100000,random,0.01596270001027733,1.51171875,25.0,Success
24,Quick Sort,100000,random,0.22390899999300018,0.0,18.5,Success
24,Timsort,100000,random,0.014541600015945733,0.37890625,25.0,Success
25,Quick Sort,100000,random,0.22999959997832775,0.0,14.7,Success
25,Timsort,100000,random,0.017199499998241663,0.75390625,14.3,Success
26,Quick Sort,100000,random,0.306179000006523,0.0,27.5,Success
26,Timsort,100000,random,0.0166060000192374,0.3828125,12.5,Success
27,Quick Sort,100000,random,0.2323352000094019,0.00390625,21.2,Success
27,Timsort,100000,random,0.020840800018049777,0.0078125,23.5,Success
28,Quick Sort,100000,random,0.30610990000423044,0.0,27.1,Success
28,Timsort,100000,random,0.02009649999672547,0.3828125,26.7,Success
29,Quick Sort,100000,random,0.358364200044889,0.21484375,40.9,Success
29,Timsort,100000,random,0.01718500000424683,0.0,16.7,Success
30,Quick Sort,100000,random,0.32000179996248335,0.09765625,36.0,Success
30,Timsort,100000,random,0.02026959997601807,0.0078125,44.4,Success
1,Quick Sort,100000,partially_sorted,0.18745749996742234,0.0,20.8,Success
1,Timsort,100000,partially_sorted,0.0038041999796405435,0.96875,0.0,Success
2,Quick Sort,100000,partially_sorted,0.17186070000752807,1.453125,19.8,Success
2,Timsort,100000,partially_sorted,0.00385349994758144,0.00390625,0.0,Success
3,Quick Sort,100000,partially_sorted,0.16324140003416687,0.0,13.6,Success
3,Timsort,100000,partially_sorted,0.005714199971407652,0.0,0.0,Success
4,Quick Sort,100000,partially_sorted,0.17184780002571642,1.03515625,21.6,Success
4,Timsort,100000,partially_sorted,0.006201699958182871,0.0,0.0,Success
5,Quick Sort,100000,partially_sorted,0.17995649995282292,0.0,26.4,Success
5,Timsort,100000,partially_sorted,0.004541400005109608,0.0,0.0,Success
